rundate,this_period,last_period,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
15/04/05 14:21,2004,2003,Other UK Airports,EXETER,NEWQUAY,16,16,0,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,FAIR ISLE,LERWICK  (TINGWALL),2341,2341,0,2066,2066,0,13.31074524
15/04/05 14:21,2004,2003,Other UK Airports,FAIR ISLE,SUMBURGH,159,159,0,185,185,0,-14.05405426
15/04/05 14:21,2004,2003,Other UK Airports,FARNBOROUGH,GLASGOW,39,0,39,27,0,27,44.44444275
15/04/05 14:21,2004,2003,Other UK Airports,FARNBOROUGH,GUERNSEY,36,0,36,22,0,22,63.63636398
15/04/05 14:21,2004,2003,Other UK Airports,FARNBOROUGH,ISLE OF MAN,0,0,0,49,0,49,
15/04/05 14:21,2004,2003,Other UK Airports,FARNBOROUGH,JERSEY,18,0,18,9,0,9,100
15/04/05 14:21,2004,2003,Other UK Airports,FARNBOROUGH,NEWCASTLE,14,0,14,8,0,8,75
15/04/05 14:21,2004,2003,Other UK Airports,FILTON,GLASGOW,0,0,0,10,0,10,
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,INVERNESS,6203,6203,0,21423,21337,86,-71.0451355
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,ISLAY,21495,21495,0,21512,21512,0,-0.079025663
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,ISLE OF MAN,29376,29376,0,18076,18076,0,62.51383209
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,JERSEY,9118,9118,0,13238,13238,0,-31.12252617
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,KENT INTERNATIONAL,4856,4856,0,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,KIRKWALL,6852,6698,154,5750,5750,0,19.16521645
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,LEEDS BRADFORD,44204,44204,0,42247,42085,162,4.63228178
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,LIVERPOOL,0,0,0,557,0,557,
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,MANCHESTER,182665,182506,159,169246,166439,2807,7.928695679
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,NEWCASTLE,6,0,6,169,0,169,-96.44970703
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,NEWQUAY,0,0,0,426,0,426,
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,NORTHOLT,3,0,3,9,0,9,-66.66666412
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,NOTTINGHAM EAST MIDLANDS INT'L,209736,209658,78,266226,266055,171,-21.21881485
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,PLYMOUTH,0,0,0,341,341,0,
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,SHEFFIELD CITY,4,0,4,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,SOUTHAMPTON,117296,117296,0,77305,77305,0,51.73145294
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,STORNOWAY,42031,42031,0,45920,45920,0,-8.46907711
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,SUMBURGH,14379,14379,0,15435,15435,0,-6.841593742
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,TIREE,5637,5637,0,5325,5325,0,5.859154701
15/04/05 14:21,2004,2003,Other UK Airports,GLASGOW,WICK,36,0,36,0,0,0,
