"apt1_apt_name","apt2_apt_name","total_pax_tp","grp_name","apt1_id","apt2_id"
"323","ISLE OF MAN","OXFORD (KIDLINGTON)",0.0133,"Other Reporting Airports",39,53
"324","ISLE OF MAN","SOUTHAMPTON",0.1932,"Other Reporting Airports",39,54
"325","ISLES OF SCILLY (ST.MARYS)","NEWQUAY",2.2093,"Other Reporting Airports",40,50
"326","ISLES OF SCILLY (ST.MARYS)","SOUTHAMPTON",0,"Other Reporting Airports",40,54
"327","JERSEY","LEEDS BRADFORD",1.6104,"Other Reporting Airports",41,44
"328","JERSEY","LIVERPOOL (JOHN LENNON)",8.6442,"Other Reporting Airports",41,46
"329","JERSEY","MANCHESTER",5.1168,"Other Reporting Airports",41,47
"330","JERSEY","MANSTON (KENT INT)",0,"Other Reporting Airports",41,48
"331","JERSEY","NEWCASTLE",1.7878,"Other Reporting Airports",41,49
"332","JERSEY","NORWICH",0.2747,"Other Reporting Airports",41,51
"333","JERSEY","OXFORD (KIDLINGTON)",0.0092,"Other Reporting Airports",41,53
"334","JERSEY","SOUTHAMPTON",16.0314,"Other Reporting Airports",41,54
"335","KIRKWALL","NORTH RONALDSAY",0.657,"Other Reporting Airports",42,62
"336","KIRKWALL","PAPA WESTRAY",0.419,"Other Reporting Airports",42,63
"337","KIRKWALL","SANDAY",0.2921,"Other Reporting Airports",42,64
